fiber_id,sample_id,diameter_um,length_um,orientation_theta,orientation_psi,curvature,n_contacts,mean_contact_area_um2,volume_voxels
F000066,S001,12.99,629.4,67.63,42.81,9e-05,1,18.25,11854
F000067,S001,30.78,735.4,58.82,161.54,0.00671,4,142.19,74199
F000068,S001,15.96,571.9,49.58,298.28,0.02482,0,0.0,13886
F000069,S001,18.1,451.9,23.42,150.72,0.00556,3,53.14,15956
F000070,S001,30.13,596.0,5.95,0.38,0.00532,4,25.16,73896
F000071,S001,29.5,951.4,52.72,70.38,0.01729,1,8.83,93346
F000072,S001,27.52,686.7,77.43,115.34,0.00479,0,0.0,57054
F000073,S001,26.79,815.3,18.49,319.81,0.01384,1,29.88,71299
F000074,S001,17.83,872.2,67.88,295.13,0.01729,1,69.35,29979
F000075,S001,21.54,772.7,72.56,61.32,0.014,4,65.96,35503
F000076,S001,28.42,780.4,9.3,311.81,0.01369,2,90.14,85861
F000077,S001,14.15,677.7,29.63,162.38,0.00723,3,48.81,15026
F000078,S001,35.44,637.3,65.08,140.07,0.0038,5,63.79,76445
F000079,S001,33.7,651.3,83.15,208.43,0.0,0,0.0,92231
F000080,S001,27.18,671.7,66.91,306.77,0.00429,1,6.49,53823
F000081,S001,24.86,960.5,50.86,97.32,0.00719,6,123.08,79502
F000082,S001,12.49,779.9,43.36,203.18,0.00546,2,48.86,16073
F000083,S001,27.42,773.5,78.69,8.63,0.00278,2,49.76,64337
F000084,S001,15.62,729.7,41.56,188.01,0.00342,1,27.89,17378
F000085,S001,30.26,735.1,72.81,350.79,0.00137,4,0.67,79386
F000086,S001,18.81,1000.3,3.64,254.09,0.00371,1,135.5,46708
F000087,S001,27.12,948.7,14.02,192.56,0.01353,3,125.2,75000
F000088,S001,22.72,749.0,86.79,33.94,0.02577,5,112.35,45807
F000089,S001,26.06,737.9,87.46,253.74,0.03717,2,53.49,48741
F000090,S001,18.48,743.7,40.15,335.05,0.007,0,0.0,25501
F000091,S001,13.77,942.1,19.68,185.67,0.02711,2,4.93,17158
F000092,S001,21.52,790.3,82.12,193.4,0.00867,4,33.42,35592
F000093,S001,38.38,829.4,85.11,136.19,0.03193,2,89.97,151922
F000094,S001,29.95,819.7,64.97,60.79,0.03418,1,115.57,86191
F000095,S001,24.5,642.8,89.53,175.06,0.00872,1,146.42,39999
F000096,S001,24.14,737.7,88.32,168.84,0.04334,1,6.79,52956
F000097,S001,22.63,890.7,57.41,308.24,0.0123,4,37.68,59684
F000098,S001,25.24,532.8,41.37,77.58,0.01839,1,42.35,43394
F000099,S001,23.86,678.8,9.97,344.18,0.00232,1,33.12,51822
F000100,S001,26.98,801.1,15.77,128.77,0.00718,1,22.06,57722
F000101,S001,21.26,560.7,6.29,173.2,0.00827,4,55.04,25676
F000102,S001,23.73,764.8,21.68,270.64,0.00844,1,62.47,46152
F000103,S001,13.02,481.3,68.68,334.8,0.00909,8,1.82,9398
F000104,S001,28.7,772.2,51.14,198.78,0.03886,1,79.58,84310
F000105,S001,19.42,897.1,80.09,113.17,0.01153,3,134.6,36147
F000106,S001,27.37,496.3,5.22,341.75,0.00318,3,16.29,39187
F000107,S001,22.65,718.2,60.99,293.21,0.00523,2,24.56,41697
F000108,S001,25.15,671.4,69.47,136.19,0.01323,1,55.27,59172
F000109,S001,27.07,854.7,46.7,291.58,0.00121,3,46.29,70257
F000110,S001,16.68,516.7,57.8,248.54,0.01642,3,51.8,18429
F000111,S001,31.8,864.4,18.05,66.74,0.0055,4,56.78,91689
F000112,S001,25.47,611.9,36.18,80.89,0.0498,1,3.91,48753
F000113,S001,29.57,852.8,82.57,306.36,0.00797,1,124.53,80016
F000114,S001,20.02,719.0,11.55,281.1,0.01144,6,33.95,28385
F000115,S001,16.05,706.9,45.47,209.75,0.0157,5,8.85,23679
F000116,S001,14.44,797.7,82.61,354.31,0.0148,3,2.83,22260
F000117,S001,26.69,609.2,34.45,352.79,0.01057,2,8.26,53689
F000118,S001,20.64,663.5,19.81,256.29,0.00381,1,17.1,37700
F000119,S001,26.49,681.6,85.06,18.32,0.00583,4,10.66,61847
F000120,S001,39.25,474.1,2.45,345.07,0.01521,4,64.27,74814
F000121,S001,24.02,624.5,31.46,208.3,0.00307,4,26.33,35029
F000122,S001,16.61,613.8,89.08,26.66,0.00053,6,189.7,19296
F000123,S001,30.49,522.1,15.27,286.77,0.00278,1,40.89,52623
F000124,S001,29.03,599.3,7.0,275.41,0.01207,3,62.76,53805
F000125,S001,28.77,922.3,54.93,224.48,0.00375,3,55.14,85593
F000126,S001,17.7,809.5,39.69,267.45,0.00637,4,89.73,34551
F000127,S001,16.92,727.4,54.18,265.51,0.00024,4,54.45,23744
F000128,S001,26.81,832.0,8.57,0.2,0.00727,2,17.3,59947
F000129,S001,21.62,642.4,56.4,117.45,0.01032,2,21.3,34932
F000130,S001,25.24,824.9,89.89,80.62,0.00803,1,107.5,73191
F000131,S001,30.6,762.9,57.51,309.59,0.01066,3,9.14,99220
F000132,S001,19.74,670.6,71.86,96.89,0.00501,4,41.59,28383
F000133,S001,21.48,701.4,16.98,306.19,0.004,3,28.46,32772
F000134,S001,26.39,661.1,5.85,19.78,0.01293,0,0.0,61021
F000135,S001,27.36,518.4,40.02,159.43,0.00039,2,19.0,52438
F000136,S001,22.78,730.6,18.25,237.6,0.00457,4,20.35,39228
F000137,S001,29.35,884.9,64.03,6.64,0.00261,5,92.0,92337
F000138,S001,12.06,665.4,20.12,163.76,0.00767,3,15.84,9092
F000139,S001,28.71,549.1,1.08,274.69,0.00589,3,39.91,55066
F000140,S001,6.71,619.9,51.47,55.29,0.03373,0,0.0,3549
F000141,S001,13.47,846.8,45.88,112.4,0.00611,2,9.72,17617
F000142,S001,19.82,868.2,19.37,309.44,0.01567,4,55.31,47412
F000143,S001,22.72,465.6,60.68,122.3,0.00314,3,91.95,28190
F000144,S001,18.85,818.0,85.77,234.29,0.00153,2,5.17,36362
F000145,S001,27.91,731.0,12.58,158.79,0.00232,2,59.88,62898
F000146,S001,29.62,453.9,1.24,89.39,0.01258,3,40.77,37463
F000147,S001,26.19,600.3,37.92,36.1,0.00291,1,87.07,52954
F000148,S001,27.35,739.5,56.91,334.5,0.00548,2,26.43,76915
F000149,S001,24.43,555.6,75.84,116.6,0.01132,2,5.46,45464
F000150,S001,25.96,696.3,8.16,152.52,0.01637,3,62.99,53446
F000151,S001,28.39,361.8,35.09,191.06,0.01849,1,7.08,32454
F000152,S001,29.42,639.9,16.32,242.93,0.00151,3,14.04,73521
F000153,S001,28.96,764.7,81.01,123.35,0.00135,1,15.32,82002
F000154,S001,25.32,775.8,84.32,218.35,0.00456,3,32.48,58642
F000155,S001,23.96,825.4,1.27,333.96,0.00211,0,0.0,46496
F000156,S001,13.13,666.0,2.95,100.57,0.00173,2,23.84,11170
F000157,S001,27.32,550.0,68.1,356.69,0.01081,3,119.87,54344
F000158,S001,25.79,806.4,69.02,290.3,0.00994,3,7.5,66305
F000159,S001,29.63,663.6,71.93,216.87,0.03499,1,21.88,55379
F000160,S001,30.47,725.8,35.35,153.04,0.02809,3,13.11,75800
F000161,S001,25.41,696.4,13.66,126.69,0.01248,4,475.91,44803
F000162,S001,26.49,810.0,73.64,210.3,0.00353,2,48.72,54471
F000163,S001,19.34,821.8,6.08,184.41,0.00566,1,256.89,41419
F000164,S001,28.61,743.2,52.89,258.5,0.01889,1,47.04,70252
F000165,S001,28.63,862.1,10.26,334.67,0.00684,2,79.6,72017
F000166,S001,27.01,706.7,63.47,24.18,0.00018,3,114.57,65942
F000167,S001,25.1,684.2,28.81,132.6,0.00245,1,12.48,45234
F000168,S001,26.04,458.7,23.57,225.7,0.02066,3,4.85,42923
F000169,S001,23.23,640.7,71.43,21.14,0.00947,3,42.5,34224
F000170,S001,25.07,687.3,65.11,312.97,0.01309,4,241.86,44537
F000171,S001,38.12,736.0,37.82,67.72,0.00278,2,160.22,137542
F000172,S001,19.58,660.4,87.49,254.95,0.00474,2,90.58,24081
F000173,S001,24.67,851.5,85.4,272.34,0.00812,2,12.27,58638
F000174,S001,31.51,771.6,89.55,28.35,0.01229,1,50.2,77510
F000175,S001,23.71,460.0,82.73,11.73,0.00105,1,38.37,35943
F000176,S001,17.33,945.2,51.63,179.28,0.00273,2,60.99,35536
F000177,S001,29.18,996.1,51.1,24.89,0.0018,0,0.0,107694
F000178,S001,22.44,851.4,5.98,310.52,0.00575,1,11.04,56934
F000179,S001,8.42,643.5,38.36,286.39,0.00981,2,75.27,4359
F000180,S001,33.21,707.3,59.87,246.68,0.00697,2,22.2,84476
F000181,S001,31.84,701.5,32.85,53.98,0.04942,1,110.8,94250
F000182,S001,15.68,733.9,0.78,17.01,0.02117,1,8.74,17407
F000183,S001,33.88,675.3,32.33,3.94,0.0061,2,2.3,92149
F000184,S001,28.91,780.8,67.78,321.31,0.01316,2,32.38,89030
F000185,S001,34.42,570.3,37.52,193.48,0.0062,1,39.9,64994
F000186,S001,29.73,556.9,17.82,275.52,0.00193,2,49.1,60293
F000187,S001,24.48,664.4,64.65,211.02,0.00701,7,65.56,47049
F000188,S001,19.68,549.2,4.42,145.54,0.01286,6,117.4,20788
F000189,S001,26.74,653.9,78.57,244.46,0.00064,3,57.43,56399
F000190,S001,21.21,780.1,77.77,260.4,0.00427,1,12.12,35804
F000191,S001,37.64,625.0,45.46,84.54,0.00087,3,35.54,86982
F000192,S002,16.07,627.6,4.58,332.39,0.02495,2,75.9,1857
F000193,S002,18.5,554.2,85.54,298.49,0.00449,0,0.0,2557
F000194,S002,16.69,558.9,57.81,166.54,0.0063,1,8.79,2026
F000195,S002,19.38,481.1,49.38,77.45,0.00707,4,10.68,2346
F000196,S002,20.15,396.8,57.53,248.58,0.0009,4,19.25,1852
F000197,S002,23.39,737.8,22.48,189.92,0.0025,2,37.4,4710
F000198,S002,28.84,587.8,85.5,102.68,0.00362,0,0.0,5075
F000199,S002,24.03,648.4,55.59,244.19,0.00837,3,2.54,4563
F000200,S002,23.22,612.4,50.18,270.36,0.01026,4,15.03,3069
F000201,S002,12.8,789.3,17.52,1.4,0.00954,1,26.75,1425
F000202,S002,20.98,614.6,58.73,44.79,0.00268,1,25.46,3651
F000203,S002,21.92,640.8,60.07,164.43,0.01818,0,0.0,3029
F000204,S002,28.08,426.5,59.94,126.44,0.02,4,29.86,4415
F000205,S002,25.96,635.9,78.97,345.45,0.00276,4,26.92,4407
F000206,S002,22.56,747.3,79.9,226.85,0.00272,2,51.04,3836
F000207,S002,23.87,591.3,51.74,310.65,0.00374,8,52.23,4525
F000208,S002,21.15,408.6,9.53,81.28,0.00395,2,53.84,2352
F000209,S002,19.21,682.7,51.73,168.22,0.00117,3,54.87,2858
F000210,S002,16.92,765.7,30.72,288.21,0.0039,2,41.04,2250
F000211,S002,16.73,595.8,46.0,341.51,0.00854,5,85.24,2197
F000212,S002,17.66,658.9,34.91,292.43,0.01024,3,38.81,2801
F000213,S002,15.77,410.2,77.45,81.5,0.00669,1,44.08,1176
F000214,S002,21.8,499.2,36.93,60.46,0.01094,2,111.02,2179
F000215,S002,17.38,669.1,30.07,97.94,0.01257,2,4.75,1940
F000216,S002,21.82,723.3,68.83,129.8,0.01278,1,20.4,3211
F000217,S002,25.15,409.0,75.36,29.08,0.01975,7,86.57,2459
F000218,S002,24.74,621.1,60.78,302.8,0.00476,1,33.8,4108
F000219,S002,19.43,606.8,23.38,48.68,0.0003,1,19.89,2330
F000220,S002,20.72,541.5,48.53,336.58,0.00333,1,153.23,3187
F000221,S002,26.91,553.8,56.41,127.18,0.01729,3,51.27,3898
F000222,S002,12.89,702.0,65.79,66.17,0.00241,0,0.0,1538
F000223,S002,15.79,639.1,2.55,201.12,0.00472,3,39.17,1502
F000224,S002,17.22,438.3,66.52,167.48,0.00812,3,23.96,1685
F000225,S002,22.31,575.6,58.48,97.37,0.00473,0,0.0,3662
F000226,S002,21.86,498.9,22.08,75.39,0.00062,1,104.87,2600
F000227,S002,19.77,542.3,73.35,115.5,0.03521,5,60.13,2255
F000228,S002,17.43,574.0,11.15,147.76,0.00882,1,36.18,1965
F000229,S002,21.11,462.4,19.51,98.85,0.00626,1,39.12,1980
F000230,S002,23.12,675.3,49.36,79.86,0.00027,2,27.05,4937
F000231,S002,27.7,433.6,88.8,31.84,0.00283,4,20.83,4529
F000232,S002,22.32,673.2,51.1,253.58,0.00139,3,4.54,4392
F000233,S002,20.97,517.8,89.95,2.69,0.00153,1,156.98,2805
F000234,S002,16.87,906.0,62.76,213.95,0.00029,4,3.34,2654
F000235,S002,20.47,375.7,20.02,293.36,0.00271,2,47.34,2136
F000236,S002,19.99,630.3,69.9,53.26,0.02091,2,0.39,2598
F000237,S002,17.45,533.7,87.28,36.27,0.0176,2,75.45,1918
F000238,S002,24.08,546.3,58.57,46.15,0.01923,6,42.82,3052
F000239,S002,26.3,783.1,21.72,21.85,0.00843,2,57.39,5741
F000240,S002,23.2,627.7,42.56,235.84,0.00291,2,65.55,3480
F000241,S002,12.93,742.2,69.7,212.39,0.00216,0,0.0,1566
F000242,S002,18.83,586.8,68.59,251.35,0.00127,2,4.74,2132
F000243,S002,18.69,348.4,42.68,205.46,0.00895,1,145.55,1452
F000244,S002,19.89,630.4,5.8,91.4,0.01163,3,4.69,3016
F000245,S002,19.88,541.6,68.83,161.06,0.03788,4,97.81,2059
F000246,S002,19.22,625.9,55.31,178.39,0.00685,1,40.45,2755
F000247,S002,22.56,762.7,79.45,134.61,0.0097,1,129.14,4362
F000248,S002,18.66,724.9,73.42,260.48,0.03963,4,11.13,2449
F000249,S002,18.59,557.9,68.49,113.86,0.00132,7,0.55,1842
F000250,S002,19.32,601.3,85.79,70.35,0.01351,4,18.87,3024
F000251,S002,20.56,590.4,64.0,236.32,0.00545,2,39.52,2601
F000252,S002,21.94,652.3,29.81,163.5,0.0062,2,74.9,4241
F000253,S002,18.23,552.5,8.85,15.46,0.01346,2,55.59,2003
F000254,S002,21.03,643.5,89.64,22.92,0.00282,4,0.06,3392
F000255,S002,14.96,704.8,16.75,119.43,0.00117,0,0.0,2111
F000256,S002,22.96,483.8,86.79,51.33,0.01305,2,7.33,2429
F000257,S002,15.46,732.8,60.48,255.87,0.01669,1,120.41,1901
F000258,S002,19.72,604.5,84.33,92.64,0.00709,1,1.89,2940
F000259,S002,23.12,628.7,25.95,70.21,0.00058,4,12.86,3321
F000260,S002,22.23,595.7,83.05,330.0,0.01275,2,7.11,2848
F000261,S002,15.5,726.6,63.11,284.63,0.01228,2,1.04,1826
F000262,S002,18.41,637.2,73.07,273.57,0.02482,2,1.34,2623
F000263,S002,17.57,522.4,10.09,186.59,0.00083,1,82.1,1689
F000264,S002,22.71,535.5,80.84,202.67,0.00744,1,34.5,2971
F000265,S002,23.91,603.9,42.53,349.69,0.00275,2,103.91,3328
F000266,S002,17.15,656.5,3.87,28.55,0.01692,0,0.0,2195
F000267,S002,14.55,457.8,16.99,274.83,0.02366,2,76.24,1205
F000268,S002,18.33,542.6,43.51,192.01,0.01044,1,3.25,1903
F000269,S002,24.08,545.2,57.49,226.25,0.00198,1,56.85,3614
F000270,S002,24.01,742.7,68.07,178.91,0.00765,0,0.0,5779
F000271,S002,16.34,593.7,89.95,258.73,0.0009,0,0.0,1473
F000272,S002,26.04,492.5,84.0,337.29,0.00606,2,52.34,3220
F000273,S002,16.59,626.0,1.12,156.25,0.01918,5,53.9,2327
F000274,S002,18.52,634.2,21.84,132.01,0.00238,3,34.38,2815
F000275,S002,21.58,325.1,45.27,241.88,0.04508,3,5.02,1416
F000276,S002,23.84,389.0,32.07,201.82,0.01595,3,32.49,2634
F000277,S002,24.29,559.4,62.46,233.07,0.00482,2,5.87,3797
F000278,S002,18.23,615.2,82.39,163.77,0.0106,4,53.86,2392
F000279,S002,17.98,664.8,24.17,49.78,0.00319,1,79.33,2884
F000280,S002,23.1,439.4,62.28,233.27,0.00075,6,33.34,2259
F000281,S002,18.41,605.6,46.01,19.58,0.00087,3,21.65,2694
F000282,S002,14.13,576.8,36.24,55.51,0.00656,1,81.32,1490
F000283,S002,16.78,565.5,88.61,89.24,0.00092,2,0.78,1896
F000284,S002,20.86,507.2,3.64,131.17,0.02462,3,266.14,2726
F000285,S002,17.66,599.2,3.16,356.71,0.01739,2,69.15,2102
F000286,S002,17.32,592.7,25.94,270.48,0.01153,2,124.94,1990
F000287,S002,15.81,658.4,36.86,198.96,0.01578,7,62.5,2076
F000288,S002,18.53,767.1,18.78,179.41,0.03333,0,0.0,3452
F000289,S002,11.91,612.9,73.47,258.14,0.02141,3,0.1,1055
F000290,S002,24.26,502.2,44.69,291.58,0.01173,7,9.37,3448
F000291,S002,20.4,571.6,78.14,39.48,0.01076,2,33.27,3097
F000292,S002,23.91,546.2,1.48,170.45,0.00086,3,13.49,3301
F000293,S002,19.09,677.2,79.73,81.09,0.00285,3,110.11,3242
F000294,S002,23.75,445.5,46.73,105.29,0.02395,5,71.65,2517
F000295,S002,23.9,731.0,77.47,173.85,0.00196,2,25.07,4685
F000296,S002,18.87,624.1,73.81,92.4,0.01311,0,0.0,2820
F000297,S002,22.38,575.6,65.02,329.45,0.05558,3,12.37,3079
F000298,S002,22.04,460.6,4.0,359.16,0.01126,4,45.41,2279
F000299,S002,17.09,604.0,12.89,88.73,0.00891,2,24.57,2339
F000300,S002,26.24,581.3,32.9,57.51,0.00552,3,29.22,4902
F000301,S002,21.41,584.6,60.52,231.38,0.00135,2,8.93,3182
F000302,S002,15.26,703.4,19.5,289.64,0.00722,1,72.31,1636
F000303,S002,22.87,611.3,31.5,140.16,0.00741,2,27.21,3232
F000304,S002,22.9,678.5,14.27,150.14,0.01999,0,0.0,3613
F000305,S002,21.36,618.6,61.15,86.57,0.00489,1,85.12,3335
F000306,S002,28.13,497.6,26.66,124.51,0.03672,3,5.8,4946
F000307,S002,18.29,542.9,43.83,66.41,0.00171,3,4.02,2166
F000308,S002,25.87,678.7,67.68,152.49,0.00464,0,0.0,4220
F000309,S002,12.59,686.2,61.59,21.9,0.00288,3,124.56,1376
F000310,S002,28.09,604.6,76.7,299.65,0.001,6,84.07,6127
F000311,S002,14.62,444.4,63.87,272.49,0.0216,3,154.24,982
F000312,S002,25.72,625.7,39.71,76.03,0.00552,2,25.48,4272
F000313,S002,20.06,640.2,18.02,30.55,0.00786,3,39.56,2692
F000314,S002,22.11,656.7,88.94,117.69,0.00113,1,34.56,3700
F000315,S002,17.47,656.2,56.76,338.35,0.00736,5,87.42,2720
F000316,S002,14.71,728.3,83.97,81.43,0.00337,3,25.2,1606
F000317,S002,22.09,576.8,13.82,202.44,0.00404,3,2.13,2849
F000318,S002,16.56,676.9,1.81,56.68,0.0185,4,58.7,1755
F000319,S002,22.53,628.2,38.5,100.74,0.00244,4,43.26,3723
F000320,S002,18.1,441.3,84.2,224.77,0.00467,3,31.72,1782
F000321,S002,18.87,536.8,25.47,245.72,0.01539,6,34.17,2126
F000322,S002,21.21,659.0,35.19,217.39,0.00642,3,19.29,2759
F000323,S002,22.18,709.0,85.43,116.68,0.00978,2,28.69,3528
F000324,S002,25.41,782.5,89.91,148.43,2e-05,1,29.95,6297
F000325,S002,18.5,672.2,41.73,350.8,0.00019,4,53.75,2656
F000326,S002,21.2,698.3,55.81,111.98,0.00683,1,8.42,4048
F000327,S002,17.89,575.4,33.69,240.66,0.01182,6,80.85,1948
F000328,S002,18.98,685.4,59.44,154.98,0.00167,3,58.71,2872
F000329,S002,22.31,586.2,81.89,191.31,0.01469,1,29.48,3031
F000330,S002,10.66,590.6,44.79,33.56,0.0017,1,136.27,671
F000331,S002,20.37,412.8,8.2,315.27,0.01174,4,76.68,2348
F000332,S002,21.67,766.4,35.64,113.59,0.00349,2,21.83,4124
F000333,S002,18.38,487.7,12.9,343.39,0.00467,2,4.89,1554
F000334,S002,20.22,501.9,58.66,31.44,0.01025,2,2.99,2091
F000335,S002,13.61,463.2,89.66,352.66,0.01175,0,0.0,914
F000336,S002,13.91,576.9,8.57,163.15,0.00871,2,81.24,1147
F000337,S002,18.1,468.0,44.58,54.89,0.00222,2,128.07,1436
F000338,S002,15.59,666.6,22.55,163.0,0.00022,2,39.76,2158
F000339,S002,21.41,709.9,58.68,238.65,0.01452,4,3.98,3571
F000340,S002,22.81,723.7,34.1,295.76,0.00733,3,28.25,3873
F000341,S002,20.1,399.7,85.46,240.85,0.00821,5,34.14,2199
F000342,S002,15.82,538.2,52.75,42.76,0.00083,3,47.05,1495
F000343,S002,23.1,632.7,36.59,233.72,0.03376,1,25.8,3523
F000344,S002,24.79,509.2,48.61,332.36,0.00735,1,7.02,3015
F000345,S002,19.02,535.0,16.78,78.94,0.00986,4,104.22,2272
F000346,S002,24.67,636.2,8.59,256.32,0.00361,5,41.39,4027
F000347,S002,14.57,445.8,28.62,174.08,0.00644,4,225.59,1076
F000348,S002,17.1,616.2,65.8,225.65,0.00641,2,18.16,2361
F000349,S002,16.15,585.1,35.14,190.43,0.00124,2,2.96,1883
F000350,S002,22.29,637.6,22.5,193.62,0.00188,2,8.62,3561
F000351,S002,17.49,618.1,25.22,309.6,0.00837,2,26.63,2199
F000352,S002,25.66,478.4,63.62,358.44,0.00422,7,26.02,3591
F000353,S002,18.23,675.5,9.37,48.21,0.00052,1,205.03,2630
F000354,S002,23.27,643.6,46.72,42.29,0.01088,1,21.81,4487
F000355,S002,10.33,727.6,67.16,270.39,0.00044,0,0.0,871
F000356,S002,22.19,519.1,32.1,161.77,0.002,2,10.48,3489
F000357,S002,21.43,674.7,1.27,120.41,0.00112,3,47.54,3206
F000358,S002,15.79,539.1,65.91,278.28,0.00056,1,25.32,1564
F000359,S002,21.14,561.9,74.53,171.46,0.01512,3,34.19,3226
F000360,S002,16.64,531.5,16.81,191.07,0.02677,0,0.0,1371
F000361,S002,14.67,467.2,25.11,345.3,0.00786,3,38.32,1299
F000362,S002,22.43,607.4,89.84,172.26,0.01201,2,22.04,4004
F000363,S002,16.86,720.5,0.66,127.93,0.00777,2,104.92,2082
F000364,S002,28.49,700.3,7.59,23.5,0.00112,4,77.18,7009
F000365,S002,12.04,654.1,89.76,126.11,0.00079,1,52.51,1279
F000366,S002,20.14,630.1,71.82,93.09,0.00488,0,0.0,3070
F000367,S002,24.84,647.7,76.83,142.9,0.00471,2,13.96,4677
F000368,S002,21.59,795.0,75.61,331.33,0.00036,1,45.87,4828
F000369,S002,22.4,620.4,2.25,184.06,0.00866,1,44.69,3191
F000370,S002,15.81,524.8,68.94,315.78,0.00177,2,45.06,1234
F000371,S002,21.93,416.3,85.7,113.0,0.02519,3,145.42,2521
F000372,S002,16.4,686.8,52.99,52.78,0.00653,1,39.63,1834
F000373,S002,15.67,639.5,65.12,70.29,0.02299,0,0.0,1816
F000374,S002,18.49,504.2,42.44,303.13,0.03164,1,44.27,2041
F000375,S002,17.28,587.0,46.7,235.22,0.01737,1,70.07,1734
