contact_id,sample_id,fiber_id_1,fiber_id_2,contact_area_um2,angle_between_fibers
C000062,S001,F000091,F000168,106.61,60.04
C000063,S001,F000106,F000003,49.65,18.86
C000064,S001,F000134,F000125,166.73,30.68
C000065,S001,F000016,F000007,91.09,23.95
C000066,S001,F000058,F000077,66.54,27.48
C000067,S001,F000079,F000189,10.71,29.08
C000068,S001,F000185,F000103,90.52,51.17
C000069,S001,F000062,F000189,40.91,64.33
C000070,S001,F000042,F000092,99.06,68.94
C000071,S001,F000029,F000081,9.21,60.52
C000072,S001,F000087,F000085,3.76,37.44
C000073,S001,F000169,F000078,6.78,38.91
C000074,S001,F000121,F000158,39.95,28.37
C000075,S001,F000068,F000170,22.39,10.54
C000076,S001,F000180,F000153,260.64,23.7
C000077,S001,F000122,F000056,8.83,60.99
C000078,S001,F000115,F000152,30.71,87.58
C000079,S001,F000085,F000157,87.97,11.45
C000080,S001,F000021,F000157,12.59,16.67
C000081,S001,F000004,F000033,39.49,64.12
C000082,S001,F000093,F000033,26.94,10.39
C000083,S001,F000177,F000050,133.34,35.88
C000084,S001,F000014,F000121,51.39,89.76
C000085,S001,F000191,F000168,18.84,37.11
C000086,S001,F000063,F000112,113.67,85.07
C000087,S001,F000141,F000009,7.19,54.39
C000088,S001,F000183,F000111,44.47,57.17
C000089,S001,F000179,F000172,36.92,23.83
C000090,S001,F000133,F000113,35.41,46.51
C000091,S001,F000041,F000098,222.96,34.49
C000092,S001,F000036,F000108,61.01,52.04
C000093,S001,F000084,F000006,182.87,57.75
C000094,S001,F000047,F000106,16.81,44.89
C000095,S001,F000108,F000160,40.4,68.4
C000096,S001,F000038,F000182,400.15,28.73
C000097,S001,F000186,F000108,69.12,24.27
C000098,S001,F000067,F000138,423.43,75.98
C000099,S001,F000124,F000010,13.97,28.16
C000100,S001,F000190,F000078,35.56,80.36
C000101,S001,F000109,F000185,124.89,36.85
C000102,S001,F000010,F000114,122.78,48.25
C000103,S001,F000028,F000145,1.04,41.52
C000104,S001,F000146,F000081,85.96,79.11
C000105,S001,F000149,F000143,339.53,72.4
C000106,S001,F000078,F000140,18.42,47.82
C000107,S001,F000163,F000008,24.49,18.19
C000108,S001,F000052,F000077,247.13,52.67
C000109,S001,F000065,F000108,163.64,27.52
C000110,S001,F000050,F000164,2.19,45.76
C000111,S001,F000095,F000093,26.17,54.48
C000112,S001,F000091,F000190,12.62,42.69
C000113,S001,F000073,F000005,11.14,12.65
C000114,S001,F000091,F000120,202.01,27.41
C000115,S001,F000087,F000073,118.3,85.1
C000116,S002,F000383,F000193,34.86,89.26
C000117,S002,F000355,F000237,117.6,49.21
C000118,S002,F000230,F000355,246.42,88.12
C000119,S002,F000232,F000254,33.03,86.46
C000120,S002,F000218,F000288,19.56,22.06
C000121,S002,F000293,F000366,58.42,8.04
C000122,S002,F000279,F000303,46.95,24.05
C000123,S002,F000306,F000336,3.98,43.8
C000124,S002,F000212,F000295,24.2,87.46
C000125,S002,F000388,F000393,217.48,26.1
C000126,S002,F000227,F000275,36.11,75.1
C000127,S002,F000273,F000389,360.81,29.52
C000128,S002,F000315,F000312,36.11,71.77
C000129,S002,F000327,F000400,75.82,40.15
C000130,S002,F000338,F000325,42.15,66.41
C000131,S002,F000220,F000344,31.34,6.0
C000132,S002,F000293,F000246,92.53,87.08
C000133,S002,F000231,F000279,74.49,67.36
C000134,S002,F000304,F000392,43.63,18.24
C000135,S002,F000278,F000300,238.66,27.01
C000136,S002,F000248,F000364,200.66,22.72
C000137,S002,F000347,F000224,17.73,28.52
C000138,S002,F000399,F000300,14.64,11.05
C000139,S002,F000353,F000346,128.74,49.93
C000140,S002,F000222,F000302,61.63,29.02
C000141,S002,F000208,F000272,15.52,16.64
C000142,S002,F000341,F000233,31.32,54.52
C000143,S002,F000380,F000245,71.44,6.63
C000144,S002,F000240,F000350,162.74,22.33
C000145,S002,F000285,F000384,96.07,45.86
C000146,S002,F000309,F000248,35.31,16.35
C000147,S002,F000312,F000214,55.98,27.81
C000148,S002,F000364,F000192,48.5,22.46
C000149,S002,F000235,F000382,57.68,11.89
C000150,S002,F000384,F000364,94.08,17.77
C000151,S002,F000324,F000377,314.72,89.69
C000152,S002,F000295,F000332,118.72,9.28
C000153,S002,F000211,F000281,102.31,35.55
C000154,S002,F000204,F000201,8.74,75.66
C000155,S002,F000215,F000235,127.19,82.29
C000156,S002,F000344,F000255,81.68,71.78
C000157,S002,F000346,F000283,0.68,64.48
C000158,S002,F000213,F000368,26.39,47.05
C000159,S002,F000305,F000275,14.32,17.98
C000160,S002,F000257,F000367,6.31,64.26
C000161,S002,F000228,F000270,29.13,26.44
C000162,S002,F000302,F000393,46.79,41.0
C000163,S002,F000353,F000389,50.94,25.8
C000164,S002,F000336,F000312,23.38,37.8
C000165,S002,F000251,F000225,139.16,24.18
C000166,S002,F000325,F000256,77.68,76.09
C000167,S002,F000301,F000276,40.8,11.31
C000168,S002,F000258,F000231,53.58,7.61
C000169,S002,F000192,F000360,380.0,8.04
C000170,S002,F000196,F000321,5.27,15.8
C000171,S002,F000377,F000361,3.98,6.81
C000172,S002,F000313,F000214,284.28,11.62
C000173,S002,F000309,F000207,1.04,30.62
C000174,S002,F000202,F000306,175.36,15.64
C000175,S002,F000247,F000242,23.64,6.84
C000176,S002,F000317,F000364,14.73,5.5
C000177,S002,F000248,F000378,185.61,84.49
C000178,S002,F000192,F000359,110.02,72.06
C000179,S002,F000327,F000239,15.37,65.84
C000180,S002,F000361,F000357,110.52,67.25
C000181,S002,F000379,F000282,31.88,51.75
C000182,S002,F000378,F000370,130.14,9.29
C000183,S002,F000265,F000323,19.47,11.68
C000184,S002,F000322,F000351,48.61,66.86
C000185,S002,F000275,F000400,6.87,42.36
C000186,S002,F000342,F000367,50.12,57.36
C000187,S002,F000213,F000198,44.2,68.55
C000188,S002,F000228,F000241,27.94,27.8
C000189,S002,F000370,F000303,48.71,31.27
C000190,S002,F000205,F000286,14.74,38.41
C000191,S002,F000280,F000362,251.69,52.56
C000192,S002,F000266,F000192,166.03,29.14
C000193,S002,F000209,F000373,87.61,17.92
C000194,S002,F000267,F000201,27.07,28.29
C000195,S002,F000291,F000334,5.02,24.58
C000196,S002,F000267,F000274,5.57,36.12
C000197,S002,F000329,F000353,253.08,89.93
C000198,S002,F000208,F000321,38.61,85.03
C000199,S002,F000276,F000335,224.82,31.11
C000200,S002,F000326,F000305,232.04,70.05
C000201,S002,F000373,F000278,4.17,69.42
C000202,S002,F000307,F000235,10.98,52.96
C000203,S002,F000352,F000373,0.9,71.31
C000204,S002,F000267,F000341,110.49,20.99
C000205,S002,F000337,F000384,51.63,33.11
C000206,S002,F000277,F000293,159.89,12.29
C000207,S002,F000238,F000207,84.74,52.23
C000208,S002,F000313,F000320,68.78,28.02
C000209,S002,F000372,F000380,159.82,45.64
C000210,S002,F000339,F000323,137.23,41.05
C000211,S002,F000266,F000270,184.71,47.06
C000212,S002,F000349,F000238,0.19,28.71
C000213,S002,F000302,F000202,10.21,43.71
C000214,S002,F000314,F000317,37.89,61.85
C000215,S002,F000239,F000256,87.75,22.66
C000216,S002,F000397,F000198,125.07,8.92
C000217,S002,F000365,F000305,35.0,30.47
C000218,S002,F000353,F000322,26.34,56.21
C000219,S002,F000257,F000227,49.66,83.98
C000220,S002,F000308,F000373,169.38,80.69
C000221,S002,F000227,F000218,36.22,22.36
C000222,S002,F000203,F000336,129.17,46.29
C000223,S002,F000326,F000196,24.13,59.62
C000224,S002,F000375,F000307,11.61,51.87
C000225,S002,F000342,F000332,35.84,68.61
C000226,S002,F000336,F000262,60.68,46.96
C000227,S002,F000304,F000361,120.77,37.92
C000228,S002,F000307,F000326,67.17,34.42
C000229,S002,F000233,F000391,84.86,56.85
C000230,S002,F000352,F000198,82.51,25.26
C000231,S002,F000358,F000359,124.66,84.58
C000232,S002,F000281,F000362,155.77,40.42
C000233,S002,F000376,F000400,55.13,65.0
C000234,S002,F000304,F000320,37.64,23.06
C000235,S002,F000391,F000223,148.08,21.87
C000236,S002,F000206,F000339,28.28,73.72
C000237,S002,F000229,F000235,146.11,60.29
C000238,S002,F000328,F000352,122.08,51.43
C000239,S002,F000397,F000392,24.01,43.94
C000240,S002,F000347,F000193,123.18,70.21
C000241,S002,F000238,F000220,31.49,48.78
C000242,S003,F000508,F000559,76.85,9.09
C000243,S003,F000479,F000461,37.12,60.14
C000244,S003,F000423,F000587,64.28,77.99
C000245,S003,F000542,F000513,54.51,31.1
C000246,S003,F000440,F000508,19.7,22.92
C000247,S003,F000578,F000540,56.23,77.27
C000248,S003,F000579,F000589,134.08,8.99
C000249,S003,F000510,F000468,98.04,19.91
C000250,S003,F000506,F000455,160.79,5.59
C000251,S003,F000460,F000498,221.09,68.78
C000252,S003,F000446,F000472,69.24,56.81
C000253,S003,F000473,F000449,11.09,47.45
C000254,S003,F000488,F000480,126.01,59.39
C000255,S003,F000495,F000554,179.8,12.5
C000256,S003,F000587,F000446,71.72,41.0
C000257,S003,F000403,F000509,25.98,14.54
C000258,S003,F000462,F000407,123.64,77.87
C000259,S003,F000522,F000450,61.23,27.74
C000260,S003,F000526,F000594,181.63,6.3
C000261,S003,F000596,F000523,69.94,88.33
C000262,S003,F000467,F000483,20.76,46.47
C000263,S003,F000457,F000522,19.49,35.45
C000264,S003,F000485,F000438,50.89,72.62
C000265,S003,F000436,F000455,61.43,26.03
C000266,S003,F000555,F000415,207.42,32.43
C000267,S003,F000563,F000449,35.23,43.09
C000268,S003,F000547,F000483,266.55,80.96
C000269,S003,F000414,F000477,249.82,45.01
C000270,S003,F000504,F000517,42.72,48.12
C000271,S003,F000474,F000544,146.9,8.23
C000272,S003,F000573,F000424,78.15,30.72
C000273,S003,F000409,F000576,117.91,71.43
C000274,S003,F000429,F000526,3.19,37.47
C000275,S003,F000481,F000578,74.37,81.66
C000276,S003,F000510,F000546,52.31,86.77
C000277,S003,F000593,F000441,12.7,26.5
C000278,S003,F000434,F000548,7.65,36.36
C000279,S003,F000401,F000430,20.4,49.67
C000280,S003,F000532,F000437,153.26,19.61
C000281,S003,F000487,F000554,12.17,14.73
C000282,S003,F000487,F000541,129.35,5.0
C000283,S003,F000436,F000564,5.22,32.65
C000284,S003,F000528,F000548,6.55,73.09
C000285,S003,F000571,F000541,98.14,58.29
C000286,S003,F000568,F000472,4.72,5.58
C000287,S003,F000461,F000443,2.91,15.44
C000288,S003,F000434,F000419,154.97,69.12
C000289,S003,F000524,F000503,217.73,22.64
C000290,S003,F000468,F000469,13.2,21.36
C000291,S003,F000510,F000587,20.97,46.19
C000292,S003,F000434,F000545,327.64,81.06
C000293,S003,F000562,F000558,177.62,14.45
C000294,S003,F000414,F000590,70.45,84.11
C000295,S003,F000453,F000568,10.22,12.33
C000296,S003,F000496,F000404,67.5,19.0
C000297,S003,F000516,F000425,73.25,85.24
C000298,S003,F000445,F000529,1.07,81.79
C000299,S003,F000580,F000493,88.21,87.99
C000300,S003,F000547,F000533,59.42,82.79
C000301,S003,F000573,F000595,30.72,48.16
C000302,S003,F000429,F000543,57.83,19.66
C000303,S003,F000452,F000587,201.65,8.26
C000304,S003,F000573,F000405,69.41,56.19
C000305,S003,F000594,F000488,120.21,13.15
C000306,S003,F000511,F000525,22.42,61.34
C000307,S003,F000594,F000501,24.03,37.9
C000308,S003,F000441,F000431,8.91,34.05
C000309,S003,F000412,F000431,347.86,84.53
C000310,S003,F000571,F000493,4.58,39.48
C000311,S003,F000551,F000426,211.5,44.29
C000312,S003,F000546,F000538,61.28,71.2
C000313,S003,F000595,F000457,171.78,16.21
C000314,S003,F000592,F000505,10.51,88.92
C000315,S003,F000476,F000557,37.32,76.49
C000316,S003,F000514,F000454,1.23,85.94
C000317,S003,F000568,F000425,36.47,89.24
C000318,S003,F000527,F000406,55.87,14.54
C000319,S003,F000553,F000500,33.86,33.73
C000320,S003,F000444,F000495,47.09,23.24
C000321,S003,F000407,F000522,19.09,65.86
C000322,S003,F000427,F000449,0.16,30.81
C000323,S003,F000590,F000429,16.26,54.98
C000324,S003,F000433,F000457,34.9,11.03
C000325,S003,F000589,F000458,23.38,81.83
C000326,S003,F000477,F000580,53.33,60.94
C000327,S003,F000515,F000556,0.92,21.76
C000328,S003,F000497,F000434,179.77,49.49
C000329,S003,F000474,F000488,25.03,53.43
C000330,S003,F000544,F000533,164.53,78.12
C000331,S003,F000425,F000442,188.23,85.78
C000332,S003,F000422,F000584,6.54,66.76
C000333,S003,F000468,F000428,21.0,43.0
C000334,S003,F000559,F000507,3.79,71.45
C000335,S003,F000454,F000432,13.45,86.19
C000336,S003,F000470,F000549,67.81,66.98
C000337,S003,F000479,F000553,341.78,6.12
C000338,S003,F000455,F000524,137.2,7.11
C000339,S003,F000537,F000455,33.17,68.86
C000340,S003,F000435,F000525,105.79,54.02
C000341,S003,F000493,F000440,83.56,42.67
C000342,S003,F000520,F000546,29.21,44.13
C000343,S003,F000595,F000465,3.74,46.37
C000344,S003,F000468,F000529,160.22,31.35
C000345,S003,F000539,F000411,28.95,65.89
C000346,S003,F000506,F000411,93.14,86.82
C000347,S003,F000544,F000587,140.91,52.48
C000348,S003,F000503,F000514,127.66,27.41
C000349,S003,F000575,F000483,24.67,12.09
C000350,S003,F000474,F000516,99.8,42.25
C000351,S003,F000427,F000491,30.41,38.68
C000352,S003,F000485,F000560,38.56,34.01
C000353,S003,F000515,F000540,30.48,82.49
C000354,S003,F000474,F000524,24.9,53.98
C000355,S003,F000499,F000431,40.66,81.74
C000356,S003,F000506,F000469,95.52,53.08
C000357,S003,F000432,F000534,107.68,75.11
C000358,S003,F000419,F000595,58.03,50.8
C000359,S003,F000512,F000535,59.11,75.14
C000360,S004,F000598,F000686,129.02,25.35
C000361,S004,F000769,F000763,23.64,12.55
C000362,S004,F000631,F000659,16.92,5.93
C000363,S004,F000691,F000726,1.01,82.79
C000364,S004,F000759,F000678,40.33,14.09
C000365,S004,F000663,F000662,5.39,61.91
C000366,S004,F000673,F000645,146.11,16.63
C000367,S004,F000597,F000734,110.79,63.23
C000368,S004,F000709,F000654,142.32,8.59
C000369,S004,F000657,F000672,60.71,16.75
C000370,S004,F000716,F000751,131.06,7.55
C000371,S004,F000767,F000672,7.2,37.25
C000372,S004,F000713,F000700,47.79,82.19
C000373,S004,F000752,F000638,40.02,75.29
C000374,S004,F000642,F000746,27.94,45.21
C000375,S004,F000781,F000772,170.85,16.67
C000376,S004,F000608,F000677,285.35,60.47
C000377,S004,F000645,F000723,139.58,68.41
C000378,S004,F000700,F000684,0.12,19.13
C000379,S004,F000781,F000734,52.86,22.31
C000380,S004,F000632,F000775,163.97,51.19
C000381,S004,F000675,F000655,83.38,39.66
C000382,S004,F000679,F000599,107.89,15.69
C000383,S004,F000723,F000739,38.66,39.64
C000384,S004,F000604,F000611,46.46,83.09
C000385,S004,F000674,F000743,35.71,83.28
C000386,S004,F000734,F000628,24.85,47.11
C000387,S004,F000755,F000635,28.41,8.18
C000388,S004,F000651,F000642,76.24,68.22
C000389,S004,F000750,F000646,57.25,66.65
C000390,S004,F000767,F000749,23.53,13.77
C000391,S004,F000721,F000778,93.43,23.0
C000392,S004,F000765,F000643,48.25,38.73
C000393,S004,F000617,F000756,27.29,12.44
C000394,S004,F000607,F000781,58.15,9.99
C000395,S004,F000785,F000651,18.71,9.35
C000396,S004,F000720,F000680,41.37,61.52
C000397,S004,F000775,F000600,19.18,23.99
C000398,S004,F000626,F000632,4.71,38.72
C000399,S004,F000750,F000652,68.37,59.35
C000400,S004,F000714,F000601,161.64,69.72
C000401,S004,F000783,F000679,36.49,88.46
C000402,S004,F000702,F000732,11.35,81.01
C000403,S004,F000666,F000707,152.16,34.76
C000404,S004,F000731,F000685,411.1,20.66
C000405,S004,F000604,F000782,17.27,32.86
C000406,S004,F000673,F000604,93.04,67.77
C000407,S004,F000699,F000714,29.26,48.32
C000408,S004,F000665,F000715,45.88,7.04
C000409,S004,F000634,F000662,173.08,49.86
C000410,S004,F000611,F000640,128.1,5.62
C000411,S004,F000607,F000628,229.14,60.73
C000412,S004,F000643,F000727,63.09,59.87
C000413,S004,F000678,F000633,24.01,8.56
C000414,S004,F000741,F000633,30.19,62.14
C000415,S004,F000630,F000707,67.06,8.2
C000416,S004,F000615,F000597,158.62,74.8
C000417,S004,F000675,F000615,416.87,74.41
C000418,S004,F000621,F000612,39.23,39.83
C000419,S004,F000700,F000750,15.56,60.36
C000420,S004,F000669,F000644,98.47,53.51
C000421,S004,F000731,F000749,57.81,30.04
C000422,S004,F000718,F000627,92.95,24.18
C000423,S004,F000724,F000650,89.37,69.08
C000424,S004,F000759,F000605,23.38,73.83
C000425,S004,F000752,F000601,16.85,36.96
C000426,S004,F000746,F000662,302.81,39.99
C000427,S004,F000605,F000678,146.69,71.9
C000428,S004,F000705,F000783,146.78,6.88
C000429,S004,F000686,F000755,93.63,72.52
C000430,S004,F000733,F000649,32.27,51.49
C000431,S004,F000769,F000643,2.82,15.82
C000432,S004,F000699,F000704,54.35,64.99
C000433,S004,F000631,F000727,58.92,83.3
C000434,S004,F000685,F000772,13.62,61.71
C000435,S004,F000670,F000622,227.16,64.25
C000436,S004,F000748,F000768,138.74,21.99
C000437,S004,F000674,F000780,55.06,27.73
C000438,S004,F000708,F000644,125.09,75.23
C000439,S004,F000693,F000650,29.6,33.21
C000440,S004,F000622,F000650,358.08,58.47
C000441,S004,F000763,F000653,118.39,77.06
C000442,S004,F000608,F000765,45.33,32.86
C000443,S004,F000708,F000767,29.89,13.37
C000444,S004,F000642,F000628,33.85,16.43
C000445,S004,F000716,F000598,69.22,55.37
C000446,S004,F000686,F000721,24.1,15.61
C000447,S004,F000691,F000652,69.98,81.79
C000448,S004,F000659,F000641,93.75,19.72
C000449,S004,F000610,F000775,4.55,17.07
C000450,S004,F000744,F000670,47.83,33.19
C000451,S004,F000752,F000697,5.71,23.93
C000452,S004,F000767,F000697,234.27,67.57
C000453,S004,F000626,F000739,50.49,20.5
C000454,S004,F000672,F000611,74.71,55.25
C000455,S004,F000662,F000710,122.14,37.28
C000456,S004,F000696,F000679,115.7,53.4
C000457,S004,F000659,F000653,80.82,71.77
C000458,S004,F000724,F000773,61.08,58.88
C000459,S004,F000753,F000643,14.29,21.3
C000460,S004,F000625,F000657,13.16,88.97
C000461,S004,F000724,F000719,374.39,11.66
C000462,S004,F000642,F000630,28.47,67.54
C000463,S004,F000712,F000756,20.84,17.94
C000464,S004,F000720,F000620,38.28,81.26
C000465,S004,F000689,F000781,121.43,84.62
C000466,S004,F000599,F000689,108.01,5.38
C000467,S004,F000769,F000670,24.27,16.37
C000468,S004,F000613,F000652,37.17,87.82
C000469,S004,F000660,F000643,14.71,73.61
C000470,S004,F000617,F000741,90.79,34.44
C000471,S004,F000685,F000647,126.62,27.25
C000472,S004,F000684,F000760,39.28,15.37
C000473,S004,F000737,F000621,48.04,47.8
C000474,S005,F000851,F000875,58.5,51.45
C000475,S005,F000875,F000818,73.0,64.71
C000476,S005,F000794,F000924,26.95,8.7
C000477,S005,F000865,F000898,6.77,10.19
C000478,S005,F000896,F000911,241.74,64.26
C000479,S005,F000805,F000819,606.3,10.53
C000480,S005,F000788,F000812,31.21,74.52
C000481,S005,F000855,F000910,66.23,36.3
C000482,S005,F000837,F000906,21.32,81.81
C000483,S005,F000870,F000846,24.17,65.85
C000484,S005,F000895,F000842,163.77,86.19
C000485,S005,F000955,F000949,217.88,56.0
C000486,S005,F000904,F000806,17.48,83.64
C000487,S005,F000938,F000834,19.45,75.66
C000488,S005,F000846,F000855,25.16,29.7
C000489,S005,F000804,F000790,210.37,38.31
C000490,S005,F000851,F000905,76.02,44.05
C000491,S005,F000787,F000789,157.96,39.79
C000492,S005,F000932,F000916,143.83,61.98
C000493,S005,F000860,F000909,16.91,68.54
C000494,S005,F000878,F000847,115.05,64.77
C000495,S005,F000846,F000913,33.84,67.74
C000496,S005,F000922,F000790,10.02,47.42
C000497,S005,F000793,F000947,78.36,41.72
C000498,S005,F000954,F000914,57.77,14.59
C000499,S005,F000953,F000807,170.33,63.79
C000500,S005,F000832,F000875,16.8,59.57
C000501,S005,F000948,F000915,20.45,77.54
C000502,S005,F000924,F000959,33.35,69.98
C000503,S005,F000828,F000932,150.02,72.23
C000504,S005,F000812,F000956,9.86,61.62
C000505,S005,F000826,F000863,107.05,19.36
C000506,S005,F000800,F000955,139.3,40.84
C000507,S005,F000880,F000936,93.05,77.8
C000508,S005,F000924,F000850,71.78,46.82
C000509,S005,F000941,F000845,36.37,86.28
C000510,S005,F000947,F000791,299.21,42.55
C000511,S005,F000817,F000923,46.27,87.92
C000512,S005,F000939,F000824,35.32,87.8
C000513,S005,F000858,F000953,25.64,21.8
C000514,S005,F000933,F000858,20.33,21.43
C000515,S005,F000833,F000843,176.62,14.79
C000516,S005,F000908,F000938,172.2,79.79
C000517,S005,F000872,F000815,71.43,55.64
C000518,S005,F000929,F000959,32.56,46.55
C000519,S005,F000859,F000952,18.92,89.32
C000520,S005,F000952,F000808,47.66,53.7
C000521,S005,F000939,F000859,171.43,58.54
C000522,S005,F000818,F000903,35.08,63.62
C000523,S005,F000852,F000905,103.83,80.67
C000524,S005,F000833,F000926,2.37,64.51
C000525,S005,F000873,F000813,60.74,11.23
C000526,S005,F000866,F000950,4.28,39.54
C000527,S005,F000799,F000890,74.01,79.48
C000528,S005,F000926,F000929,255.49,28.4
C000529,S005,F000854,F000862,66.85,42.2
C000530,S005,F000819,F000961,129.09,61.84
C000531,S005,F000828,F000801,109.38,10.17
C000532,S005,F000865,F000806,61.8,26.14
C000533,S005,F000938,F000914,69.41,59.3
C000534,S005,F000820,F000887,120.41,72.32
C000535,S005,F000826,F000944,82.97,49.34
C000536,S005,F000791,F000818,143.72,41.69
C000537,S005,F000913,F000904,108.52,52.47
C000538,S005,F000952,F000926,8.02,83.4
C000539,S005,F000818,F000910,171.49,19.94
C000540,S005,F000952,F000932,49.94,43.79
C000541,S005,F000846,F000838,45.69,86.41
C000542,S005,F000797,F000956,38.62,36.88
C000543,S005,F000863,F000948,24.87,26.13
C000544,S005,F000897,F000801,161.62,42.2
C000545,S005,F000936,F000939,106.41,82.49
C000546,S005,F000800,F000877,74.67,70.89
C000547,S005,F000856,F000840,266.32,48.26
C000548,S005,F000873,F000951,36.93,45.2
C000549,S005,F000852,F000905,6.3,50.55
C000550,S005,F000796,F000957,34.1,85.22
C000551,S005,F000797,F000858,0.12,43.37
C000552,S005,F000841,F000962,7.52,26.24
C000553,S005,F000815,F000853,29.89,31.15
C000554,S005,F000832,F000799,73.44,67.17
C000555,S005,F000803,F000825,53.86,18.85
C000556,S005,F000911,F000955,95.25,65.22
C000557,S005,F000831,F000843,57.5,42.37
C000558,S005,F000867,F000925,13.36,56.79
C000559,S005,F000848,F000786,6.03,42.44
C000560,S005,F000864,F000816,183.87,12.69
C000561,S005,F000794,F000906,74.45,11.0
C000562,S005,F000813,F000807,68.74,70.42
C000563,S005,F000936,F000908,159.05,44.8
C000564,S005,F000859,F000823,123.75,35.13
C000565,S005,F000900,F000913,47.96,15.18
C000566,S005,F000848,F000814,9.5,18.86
C000567,S005,F000930,F000873,155.73,64.0
C000568,S005,F000818,F000811,31.06,53.07
C000569,S005,F000903,F000836,173.64,29.49
C000570,S005,F000924,F000846,156.23,85.03
C000571,S005,F000841,F000814,281.7,83.37
C000572,S005,F000836,F000949,93.16,46.68
C000573,S005,F000806,F000788,96.15,11.51
C000574,S005,F000947,F000862,91.85,28.23
C000575,S005,F000819,F000835,23.96,35.63
C000576,S005,F000823,F000809,32.51,10.46
C000577,S005,F000856,F000902,116.1,32.03
C000578,S005,F000929,F000956,67.8,44.9
C000579,S005,F000925,F000893,145.23,54.99
C000580,S005,F000904,F000963,28.35,74.02
C000581,S006,F001166,F001052,47.27,36.37
C000582,S006,F001062,F001033,104.4,16.98
C000583,S006,F001028,F001094,12.02,53.95
C000584,S006,F001044,F000999,7.34,70.24
C000585,S006,F001013,F001014,54.8,43.74
C000586,S006,F001056,F001084,66.08,24.31
C000587,S006,F000992,F000968,34.88,49.3
C000588,S006,F001056,F001165,67.89,18.0
C000589,S006,F001145,F001158,81.3,10.63
C000590,S006,F001080,F001152,42.53,39.36
C000591,S006,F001004,F000991,53.66,10.52
C000592,S006,F001107,F001048,23.9,61.86
C000593,S006,F001134,F001021,98.48,38.19
C000594,S006,F001165,F001164,2.93,73.92
C000595,S006,F000989,F001148,102.85,74.02
C000596,S006,F001022,F001110,18.31,79.2
C000597,S006,F001164,F001113,3.03,9.54
C000598,S006,F001138,F001088,103.84,47.29
C000599,S006,F001084,F001103,72.01,7.83
C000600,S006,F001013,F001118,30.91,42.51
C000601,S006,F001051,F001016,77.2,37.76
C000602,S006,F001165,F000979,131.7,73.12
C000603,S006,F001049,F001072,16.55,48.9
C000604,S006,F001128,F001130,12.33,42.86
